ModelPath,AUC_Custom,PerfectPointFound,AUC_PR,AUC_ROC,CompositeF1,FolderName,Task,Model,Architecture,LossFunction,TimeSeriesID,PlotHTMLPath
/kaggle/working/results/lstm_ae_model_ep200_ts2.h5,3.015317814497648e-05,False,0.0033706872654101,0.0526180622357441,0.0132447407342001,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,2,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts2.html
/kaggle/working/results/lstm_ae_model_ep200_ts20.h5,0.0,True,0.8998341688447254,0.996751591519551,0.0590600305004852,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,20,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts20.html
/kaggle/working/results/lstm_ae_model_ep200_ts21.h5,0.0,True,0.9995115405260332,0.999996804856618,0.0127750177430801,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,21,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts21.html
/kaggle/working/results/lstm_ae_model_ep200_ts23.h5,0.0,True,0.9913745961809864,0.9998591714260218,0.0292792792792792,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,23,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts23.html
/kaggle/working/results/lstm_ae_model_ep200_ts31.h5,0.0,True,0.986732388674952,0.999459859913793,0.064516129032258,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,31,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts31.html
/kaggle/working/results/lstm_ae_model_ep200_ts37.h5,0.0,True,0.9961101213510002,0.9999919842892068,0.0039918566125104,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,37,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts37.html
/kaggle/working/results/lstm_ae_model_ep200_ts4.h5,0.0,True,0.8539130479608847,0.9960975903614456,0.0459770114942528,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,4,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts4.html
/kaggle/working/results/lstm_ae_model_ep200_ts43.h5,0.0006523157208088,False,0.0199109308241323,0.7435039980698973,0.021582248600526,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,43,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts43.html
/kaggle/working/results/lstm_ae_model_ep200_ts45.h5,0.0001020199959192,False,0.0114170597981313,0.0076952168918002,0.044196181940949,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,45,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts45.html
/kaggle/working/results/lstm_ae_model_ep200_ts50.h5,0.0648854961832061,False,0.1022446323286487,0.9484442495457688,0.0245414294750158,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,50,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts50.html
/kaggle/working/results/lstm_ae_model_ep200_ts51.h5,0.0006147037128104,False,0.0012192397644438,0.4833841076415334,0.0025322866548493,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,51,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts51.html
/kaggle/working/results/lstm_ae_model_ep200_ts6.h5,0.0004534461910519,False,0.0035251356201555,0.1913161057692307,0.0114068441064638,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,6,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts6.html
/kaggle/working/results/lstm_ae_model_ep200_ts69.h5,9.279881217520415e-05,False,9.44822373393802e-05,0.2249890142082906,0.0002928686484111,Anomaly_Task4_AE_LSTM_MaxDiff,4,AE,LSTM,MaxDiff,69,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_LSTM_MaxDiff/lstm_ae_plot_ep200_ts69.html
